id_empleado,com_claridad,com_escucha_activa,com_retroalimentacion,col_participacion,col_apoyo_companeros,col_cumplimiento_acuerdos,res_manejo_tension,res_busqueda_acuerdos,res_mediacion,ada_flexibilidad,ada_tolerancia_incertidumbre,ada_aprendizaje_continuo
95,6.4,7.1,6.9,5.1,5.8,7.1,3.8,6.5,2.3,2.9,6.9,2.9
96,3.7,6.1,4.2,3.4,7.4,7.5,2.6,7.8,6.2,9.3,8.5,9.9
97,2.8,4.2,7.4,4.4,7.8,6.9,5.5,9.9,4.7,8.8,8.1,10.0
98,5.3,5.4,4.2,6.3,3.9,6.3,5.9,3.9,6.5,8.4,8.0,9.1
99,7.8,8.3,8.2,9.3,8.2,7.6,7.0,8.4,7.8,8.8,5.5,9.9
100,7.2,7.1,8.9,8.9,9.5,8.1,7.5,6.3,6.0,9.8,8.6,8.1
101,7.9,9.8,6.6,9.1,8.4,8.7,9.5,8.7,8.3,8.1,8.0,8.0
102,3.5,6.6,2.2,5.9,4.9,6.1,6.9,4.7,5.0,8.6,8.4,8.8
103,7.4,5.2,2.5,4.4,5.0,4.6,4.8,8.2,6.9,8.7,7.3,9.1
104,6.2,5.5,6.7,5.8,2.3,8.9,3.9,4.4,5.8,10.0,7.6,8.5
105,6.5,6.5,5.3,7.3,6.5,8.3,3.7,2.0,4.6,1.8,3.4,5.1
106,9.8,6.3,10.0,9.1,8.1,9.2,7.8,7.8,6.7,8.9,8.9,8.8
107,5.1,5.2,4.0,6.7,4.3,6.1,6.6,2.7,5.0,8.4,7.6,8.1
108,5.6,5.4,6.2,7.1,8.1,6.6,3.5,5.6,3.4,5.2,7.1,5.0
109,9.9,7.3,9.5,8.8,7.6,8.1,8.5,6.3,8.7,7.7,8.3,9.3
110,9.0,8.0,10.0,9.4,9.4,8.9,9.9,8.2,9.6,8.3,6.6,8.7
111,7.6,10.0,10.0,8.5,8.4,9.0,8.8,6.3,6.9,8.9,7.8,9.5
112,8.3,8.9,9.2,7.8,8.4,7.9,8.0,7.9,9.0,10.0,7.2,7.6
113,5.5,5.5,7.3,6.1,7.4,7.1,3.9,7.0,1.0,5.6,1.0,5.0
114,5.0,6.9,6.8,5.4,6.9,6.6,3.7,5.0,2.3,3.4,6.4,2.7
115,6.3,7.3,6.0,4.3,5.8,3.7,7.5,4.3,4.6,8.1,8.7,8.0
116,8.6,7.3,5.3,6.1,7.6,5.9,3.3,4.5,2.1,3.9,4.8,3.4
117,5.0,6.3,4.9,5.3,6.1,6.4,4.3,4.5,1.8,2.2,4.2,3.0
118,9.0,7.7,8.0,8.3,8.1,10.0,8.1,8.6,8.3,8.0,6.5,8.2
119,5.8,7.0,5.8,4.0,5.3,7.4,3.5,2.4,3.7,5.5,3.3,4.0
120,4.3,6.0,4.1,5.5,3.8,4.4,4.2,6.3,6.3,7.4,8.8,9.4
121,5.8,7.3,6.9,6.3,9.7,7.3,4.7,1.0,5.0,5.9,2.4,3.9
122,5.5,7.0,7.2,5.3,7.9,5.3,4.1,3.6,4.4,5.1,1.0,2.1
123,5.1,6.9,4.9,6.1,3.1,7.3,6.7,4.8,6.7,7.8,7.8,9.6
124,7.8,7.8,9.5,9.3,7.5,8.5,7.5,8.8,7.7,8.2,7.8,7.9
125,8.7,9.6,6.9,7.2,9.1,8.7,9.2,8.2,6.5,9.7,8.0,8.6
126,4.9,5.8,4.5,4.2,5.8,7.6,4.9,3.5,7.2,9.2,8.7,9.1
127,6.2,8.7,5.1,5.4,7.1,5.5,6.6,3.0,3.2,4.5,5.0,4.6
128,5.5,5.4,3.6,5.2,6.2,5.4,1.8,4.8,2.7,4.2,4.4,5.8
129,8.0,10.0,7.9,9.2,8.6,8.4,8.4,8.1,7.6,8.4,9.1,9.0
130,6.1,5.8,4.6,4.9,5.5,7.2,6.6,4.7,4.6,8.0,6.5,8.2
131,5.7,4.7,7.1,4.9,5.1,4.2,5.0,4.8,5.3,6.6,8.5,10.0
132,7.6,7.8,8.6,6.9,6.7,6.8,8.4,8.8,8.2,10.0,8.5,8.8
133,8.6,8.0,7.0,9.0,8.5,8.5,9.3,7.7,8.2,8.4,6.7,8.5
134,6.1,6.1,7.6,3.6,3.8,6.7,3.1,5.4,4.6,8.9,6.5,9.5
135,4.7,6.8,7.6,6.4,6.7,8.0,4.9,7.8,3.3,4.4,2.9,4.6
136,5.8,4.8,5.7,5.6,9.2,5.4,2.8,3.5,7.2,7.8,7.3,9.1
137,4.1,5.5,4.5,7.0,5.5,5.5,4.7,2.9,6.4,8.3,8.8,10.0
138,7.1,8.8,4.8,4.7,6.2,8.0,6.5,5.7,6.9,2.4,3.1,3.9
139,3.9,7.7,4.2,1.3,6.3,3.8,5.2,4.5,7.3,10.0,7.1,8.6
140,4.5,6.7,7.4,6.5,7.0,6.4,2.6,4.0,5.6,2.9,3.1,4.5
141,4.7,6.2,8.4,8.5,7.0,7.0,3.9,3.3,2.1,3.2,5.7,5.8
142,8.5,8.4,9.5,9.5,9.2,9.1,10.0,8.0,8.6,7.9,7.9,7.4
143,5.4,6.3,4.1,5.5,7.9,5.4,3.6,7.7,5.7,9.7,7.8,7.4
144,3.7,4.2,3.1,4.6,3.4,6.0,4.6,6.6,5.1,8.5,7.9,8.4
145,9.1,8.0,8.1,9.1,9.1,7.1,9.5,9.0,8.0,7.2,9.2,7.3
146,7.0,6.6,6.2,7.7,7.9,8.3,9.9,6.9,8.8,9.4,7.2,8.3
147,4.9,6.0,5.3,5.8,5.8,6.5,5.9,3.9,6.5,9.2,9.3,9.2
148,3.3,6.3,4.6,5.9,3.7,4.8,4.4,1.5,4.7,9.0,8.2,8.2
149,7.9,7.8,7.5,9.3,8.3,8.8,10.0,7.5,8.6,8.9,7.7,7.5
150,8.5,9.9,6.4,10.0,8.4,9.1,9.6,9.1,7.1,10.0,10.0,8.7
151,5.6,4.7,6.7,6.8,7.6,6.5,5.2,5.3,4.3,7.3,2.4,5.5
152,8.2,6.8,7.5,8.1,9.5,8.9,7.2,8.0,7.5,7.7,7.5,7.2
153,9.4,8.5,6.8,8.5,7.6,8.1,8.0,8.2,7.6,9.8,6.7,9.3
154,4.2,6.9,1.0,2.9,5.1,5.8,5.8,4.5,6.8,8.8,9.0,9.4
155,7.4,8.2,6.0,5.5,5.7,7.4,4.7,4.8,2.5,5.1,6.5,5.6
156,7.5,7.8,9.8,8.2,7.6,8.9,9.5,8.9,9.9,6.8,9.6,9.6
157,5.7,6.9,7.3,4.5,4.7,5.3,7.1,3.2,3.4,8.3,9.2,10.0
158,8.1,6.2,5.4,6.5,6.2,7.0,2.7,4.9,3.2,3.4,3.7,3.8
159,6.3,8.1,7.4,7.8,10.0,9.3,9.4,9.0,8.2,9.0,7.5,8.7
160,5.6,7.3,6.6,7.6,7.0,4.8,4.6,3.9,4.8,5.9,1.5,3.7
161,5.8,6.3,3.3,5.2,3.1,7.4,6.9,6.5,5.7,6.6,10.0,8.8
162,4.7,3.5,5.3,5.2,4.2,5.6,7.9,9.4,5.7,8.5,8.5,9.9
163,5.5,7.4,5.9,4.8,6.4,6.5,4.6,5.4,6.3,9.5,7.5,7.9
164,4.2,7.3,6.6,5.4,7.9,7.4,6.0,6.1,5.5,8.3,9.3,8.2
165,8.6,7.7,7.9,9.2,7.3,7.8,7.5,7.5,9.3,9.0,6.9,9.7
166,6.3,6.7,5.7,5.3,4.4,6.1,2.0,4.8,5.2,5.0,4.6,5.7
167,6.6,6.1,3.5,4.3,7.6,5.7,6.5,6.1,6.9,8.8,7.8,8.5
168,8.7,8.6,7.2,8.3,9.1,8.3,10.0,8.4,6.7,8.1,8.5,9.3
169,8.8,7.7,7.8,7.4,7.9,10.0,6.2,7.3,7.7,7.2,7.8,8.9
170,4.4,4.6,5.4,4.1,5.7,5.0,6.0,5.8,5.4,7.5,6.5,9.9
171,4.3,5.5,6.2,4.6,1.3,5.3,6.8,7.5,4.5,9.1,8.1,8.9
172,8.1,9.5,7.2,9.2,8.7,8.9,8.1,8.6,8.2,8.3,8.9,9.4
173,5.6,6.2,7.0,5.5,5.5,4.6,5.9,6.8,5.1,8.4,8.0,10.0
174,8.1,7.9,7.7,8.7,9.5,8.5,6.7,8.0,8.5,7.9,8.7,9.1
175,5.4,6.5,4.8,6.3,3.6,6.4,6.3,6.5,4.4,8.2,7.0,8.8
176,10.0,5.5,7.3,8.4,8.8,8.6,7.2,8.5,9.7,9.2,7.9,9.2
177,6.2,7.0,1.2,5.7,3.7,5.9,3.2,4.2,4.6,8.2,7.4,8.5
178,4.5,3.2,6.1,5.1,5.4,5.4,7.6,5.9,6.1,7.3,8.7,10.0
179,7.8,5.8,7.0,6.6,5.5,5.3,5.5,3.0,5.1,5.5,4.0,4.6
180,8.1,7.2,7.7,8.0,8.3,9.0,8.1,7.6,7.2,8.1,8.6,8.4
181,2.1,3.8,4.9,2.0,3.6,8.1,6.3,5.8,6.9,8.5,9.1,8.2
182,7.6,9.5,8.5,8.4,9.3,8.8,9.1,8.5,6.4,9.7,8.6,9.5
183,4.4,5.6,4.0,8.0,7.4,7.0,4.5,2.7,6.0,4.5,4.4,5.5
184,6.1,6.6,5.3,7.4,6.2,7.5,5.5,6.1,4.0,4.9,2.5,3.6
185,8.5,8.3,8.8,9.3,8.7,7.9,7.7,8.7,7.1,7.2,7.9,9.1
186,7.3,6.1,2.9,6.8,3.0,8.0,7.7,4.5,5.4,8.3,7.5,7.7
187,6.9,6.3,6.4,6.4,6.2,7.0,4.6,2.2,5.1,5.3,3.5,4.6
188,4.7,3.8,2.8,5.5,4.9,8.0,6.3,5.3,5.0,7.1,7.6,9.1
189,6.2,6.8,5.5,4.4,8.7,5.1,4.3,4.9,4.8,8.7,7.0,10.0
190,6.5,7.8,8.0,8.2,7.7,10.0,8.3,8.3,7.6,8.4,5.9,8.0
191,8.7,6.7,6.4,9.0,10.0,9.3,7.2,7.9,6.5,8.3,7.2,7.6
192,7.3,5.7,7.5,7.7,7.6,7.4,3.3,1.5,6.5,5.8,4.3,3.0
193,4.9,8.0,5.0,6.1,6.8,7.0,3.1,3.9,3.2,4.9,2.0,2.4
194,6.6,6.6,3.6,4.6,7.5,5.7,4.6,5.1,6.9,9.8,8.0,9.7
195,5.5,5.0,5.1,5.2,5.5,7.4,8.8,6.4,6.1,7.6,9.9,9.9
196,4.4,5.0,6.5,6.0,5.5,6.2,7.7,4.5,4.5,8.6,9.0,9.0
197,7.2,5.8,4.7,4.6,6.4,4.8,6.9,7.0,4.0,4.6,6.5,6.0
198,9.0,8.7,6.1,3.5,7.8,5.7,2.5,1.6,5.1,3.1,4.6,4.5
199,6.7,6.7,6.6,5.6,7.7,6.6,4.3,6.5,3.7,5.7,5.8,4.2
200,6.8,6.7,6.9,4.8,5.8,7.1,2.4,4.2,5.7,7.5,2.9,3.8
201,4.4,6.8,5.1,4.5,3.2,5.9,5.1,6.7,7.1,8.5,7.4,8.6
202,7.7,8.5,7.6,8.4,8.5,9.7,7.1,8.3,8.8,8.8,5.2,7.4
203,9.2,8.0,7.2,8.1,8.0,7.4,9.2,9.2,7.3,8.4,9.1,8.8
204,5.6,6.0,6.1,8.0,6.4,6.9,3.6,3.9,2.5,3.6,6.3,4.2
205,5.1,5.4,3.2,5.6,6.7,3.8,7.4,4.0,5.0,6.9,7.4,9.3
206,8.1,8.3,5.1,8.7,8.3,9.3,8.6,9.5,8.0,7.7,7.6,8.7
207,8.9,9.0,8.4,9.0,8.7,8.7,10.0,8.1,8.4,7.0,7.1,8.5
208,5.5,5.6,6.2,3.7,5.1,6.5,4.1,5.8,3.0,10.0,8.4,8.2
209,9.4,9.0,5.6,9.3,9.5,8.2,9.3,9.3,7.8,8.2,9.0,8.7
210,8.0,8.2,7.0,8.4,6.7,9.7,9.1,7.3,8.0,8.0,6.2,9.2
211,4.6,5.6,5.7,6.1,4.2,7.3,4.7,6.3,5.4,9.3,8.4,8.0
212,3.6,2.9,7.9,3.8,5.3,6.7,7.3,4.7,7.5,7.5,7.7,8.9
213,4.4,6.7,4.8,3.2,6.7,5.8,6.4,5.3,6.3,7.8,8.1,9.0
214,8.8,8.6,7.3,9.2,8.3,9.2,7.8,8.3,9.2,8.4,8.4,8.0
215,7.3,7.4,5.8,6.8,4.4,6.1,3.0,2.2,3.7,5.8,3.7,3.5
216,7.7,5.4,9.4,7.8,9.3,9.4,7.3,7.5,8.8,8.8,7.8,8.8
217,6.2,8.2,3.8,4.1,4.1,8.0,8.7,7.4,7.9,8.7,7.8,8.0
218,8.0,6.0,5.0,7.7,5.2,7.9,4.2,5.8,5.8,4.6,5.5,4.8
219,5.6,6.9,4.1,3.7,4.1,5.1,7.0,5.4,4.4,8.9,8.4,8.2
220,8.6,5.0,4.8,8.3,6.3,7.2,3.1,4.9,3.6,4.8,4.3,5.8
221,3.9,6.3,5.0,4.0,4.2,4.4,5.0,5.1,5.4,7.6,6.7,10.0
222,3.3,4.1,7.2,6.0,1.9,6.7,7.4,7.4,6.4,8.5,7.6,8.2
223,6.9,7.7,8.3,8.2,9.5,9.1,6.7,8.0,8.6,7.3,8.8,9.0
224,7.1,8.0,4.4,6.0,6.8,3.8,5.5,5.8,4.7,8.6,8.0,8.3
225,9.1,8.1,7.7,8.1,9.3,8.0,8.0,9.2,7.9,7.9,8.6,9.4
226,8.4,8.5,6.4,8.4,7.7,8.6,8.1,7.5,5.6,10.0,9.7,7.6
227,6.8,7.2,7.1,6.3,6.3,6.5,3.9,6.8,6.0,4.4,5.6,5.0
228,3.4,6.1,4.7,3.9,5.0,4.5,6.5,3.4,5.1,7.2,8.1,8.2
229,9.2,6.4,5.8,7.2,7.2,7.2,5.2,6.9,4.1,4.3,3.2,4.0
230,5.2,6.0,9.6,4.5,5.9,6.3,7.0,5.0,5.4,9.0,5.4,8.1
231,6.6,9.1,6.4,6.0,5.7,6.6,2.8,4.1,5.6,6.7,3.7,5.5
232,6.0,5.4,3.7,3.9,5.1,5.1,5.6,2.9,2.1,8.0,7.7,8.2
233,5.7,5.8,4.2,1.9,5.6,7.3,7.6,4.9,5.8,7.1,8.4,9.2
234,5.3,6.9,6.5,5.0,7.0,8.0,7.2,4.0,5.7,9.2,7.8,8.6
235,7.8,9.4,8.1,10.0,9.3,8.5,6.6,7.7,7.3,7.1,7.6,8.5
236,7.0,7.6,4.1,7.2,7.4,6.2,4.7,4.3,6.4,3.9,1.3,4.5
237,10.0,8.9,8.9,8.5,8.8,9.1,6.0,9.1,6.8,8.1,7.0,8.0
238,9.7,7.2,7.3,8.3,10.0,8.5,8.0,8.4,8.6,8.2,8.4,8.8
239,7.2,7.6,7.6,5.2,5.6,5.8,8.5,5.9,6.3,9.1,9.7,9.9
240,8.0,7.2,9.1,8.9,7.9,9.3,7.1,7.2,9.2,7.7,7.8,8.0
241,5.4,6.6,5.4,4.9,8.0,4.9,3.0,3.2,3.1,4.1,4.5,5.9
242,6.4,5.3,7.7,7.6,7.3,8.1,5.3,7.2,3.0,4.5,5.4,6.4
243,6.6,6.1,6.1,7.2,6.0,6.9,2.0,3.4,5.5,4.7,2.8,3.2
244,6.5,5.9,6.1,6.1,4.3,5.5,5.2,7.8,6.4,8.6,8.4,7.8
245,7.0,8.6,8.5,8.9,9.0,8.7,8.6,8.0,6.1,8.7,7.2,8.8
246,8.2,6.7,4.9,6.3,7.0,6.8,3.3,4.5,3.2,5.6,5.3,3.5
247,4.8,7.6,3.8,6.1,5.3,3.9,5.7,7.0,6.3,8.9,8.2,10.0
248,6.0,6.7,7.3,7.0,6.8,8.3,5.2,6.4,5.2,5.1,4.4,4.3
249,5.4,5.9,5.6,5.9,8.4,6.8,4.8,4.3,3.0,2.4,2.8,3.2
250,4.7,7.4,5.5,5.6,7.7,7.2,4.6,3.9,1.0,4.6,5.1,2.7
251,9.2,9.5,7.0,8.6,8.9,9.5,7.7,8.1,8.4,8.7,10.0,9.5
252,5.1,3.9,5.4,7.2,6.3,4.8,6.5,6.0,4.2,9.2,7.0,8.4
253,5.1,6.9,8.7,4.8,5.4,7.3,4.0,5.8,1.2,3.6,3.5,4.4
254,3.2,6.4,3.2,3.3,5.6,5.7,6.6,5.5,2.1,7.9,8.2,9.5
255,8.2,8.0,8.0,8.6,10.0,9.4,7.5,8.8,8.7,7.8,8.7,8.2
256,7.3,7.3,6.9,5.3,4.7,3.4,5.8,7.8,6.0,9.0,7.4,8.8
257,6.2,6.0,5.9,6.5,5.6,6.7,2.8,5.1,3.7,5.8,1.0,4.3
258,2.9,5.7,5.5,5.5,4.1,5.3,6.0,5.9,7.6,8.1,9.4,9.3
259,4.7,5.3,3.2,4.9,3.5,6.5,4.9,3.4,6.6,9.3,8.8,9.2
260,8.3,8.3,8.4,9.7,8.0,9.1,6.9,5.8,9.6,8.4,6.2,8.4
261,1.2,4.1,4.5,3.1,4.5,5.2,6.3,6.0,4.0,8.4,7.4,8.8
262,6.4,4.5,7.3,5.3,5.0,6.1,4.5,4.4,4.0,4.2,6.4,3.8
263,8.3,9.9,9.2,8.4,8.7,8.7,8.8,7.7,6.0,9.0,9.3,7.4
264,6.0,4.4,8.7,3.1,6.3,4.9,5.4,5.8,5.5,8.8,8.9,9.0
265,8.5,5.0,6.8,6.1,5.5,7.6,4.8,4.4,3.7,7.5,3.7,6.9
266,7.7,3.6,6.4,8.3,8.2,6.4,5.0,6.2,4.9,3.4,4.1,3.1
267,4.6,4.7,5.1,5.2,5.7,2.5,6.6,5.6,5.9,9.0,7.9,8.3
268,5.3,4.6,5.5,6.6,7.6,6.4,3.0,3.4,4.9,3.8,5.7,3.1
269,8.6,7.6,5.3,3.6,4.1,4.8,6.2,6.9,6.7,7.7,7.1,9.3
270,8.6,9.3,7.7,8.0,9.5,7.7,8.4,8.0,10.0,8.3,7.1,9.0
271,6.5,5.4,6.2,5.8,5.3,5.6,4.2,5.3,3.6,4.7,5.5,4.1
272,6.5,8.9,7.7,5.9,7.5,6.9,1.3,3.8,2.7,8.3,3.9,3.0
273,6.7,7.4,4.7,7.8,6.7,8.1,4.4,3.5,4.3,4.3,6.1,4.4
274,6.3,5.8,7.5,7.0,7.1,7.1,7.3,4.6,2.9,3.0,3.0,2.1
